trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b161c1a45;2026-05-27T22:28:24.345030;MXC->KCN;MPC-USDT;USDT;1,325098259;MXC;C02__688417278021996544119;market;buy;250;250;0,01781;0,01781;4,4525;0;27.05.2026 22:28;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688417278021996544119"", ""quantity"": ""250.0"", ""amount"": ""4.4525"", ""fees"": 0.0, ""price"": ""0.01781"", ""executedQty"": ""250.0"", ""cummulativeQuoteQty"": ""4.4525"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 250.0, ""price_actual"": 0.01781, ""value_usdt"": 4.4525, ""fees"": 0.0, ""create_ts"": 1779913705000}]}";;
1b161c1e42_ex1p1;;;;;;;;;;;210;;0,0178;3,738;0;2026-05-27 22:28:29.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b161c1e42_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17577e0970a10007fb714a;limit;sell;210;210,0;0,018046;0,019;3,99;0,01197;;FILLED;0,05166;0;;;FILLED;2026-05-27T22:28:30.671508;;;;"{""orderId"": ""6a1753eeeaee1500079a122c""}";2026-05-27T22:28:30.670084
1b161c1e42_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1753eeeaee1500079a122c;limit;sell;;0;;0;0;0;0;CANCELLED;;;;;CANCELLED;2026-05-27T22:28:30.674539;;;;;
1b161c1e42_ex2p2;2026-05-27T22:28:28.559021;;;;;;;;;;;;;;;;;;6a17577e0970a10007fb714a;limit;sell;;210,0;;0,019;3,99;0,01197;2026-05-28T12:29:16.001;FILLED;;;;;FILLED;;;;;;
1b161c1e42;2026-05-27T22:28:28.559021;MXC->KCN;MPC-USDT;USDT;1,382022472;MXC;C02__688417295872958465119;market;buy;210;210;0,0178;0,0178;3,738;0;27.05.2026 22:28;FILLED;;;;;;;;;;;;;;;0,24003000000000022;0,0;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688417295872958465119"", ""quantity"": ""210.0"", ""amount"": ""3.738"", ""fees"": 0.0, ""price"": ""0.0178"", ""executedQty"": ""210.0"", ""cummulativeQuoteQty"": ""3.738"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 210.0, ""price_actual"": 0.0178, ""value_usdt"": 3.738, ""fees"": 0.0, ""create_ts"": 1779913709000}]}";;
1b161c2c27_ex1p1;;;;;;;;;;;75,93;;0,01783;1,3538319;0;2026-05-27 22:28:43.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b161c2c27_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1753fc30aa00000718e8bf;limit;sell;76;76.0;0,018029;0.01803;0;0.00411084;;PARTIAL;0,0163721;-0,07;;-0,07;FILLED;2026-05-27T22:28:54.545235;;;;"{""orderId"": ""6a1753fc30aa00000718e8bf""}";2026-05-27T22:28:44.395050
1b161c2c27_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1753fc30aa00000718e8bf;limit;sell;;76.0;;0.01803;0;0.00411084;0;FILLED;;;;;FILLED;2026-05-27T22:28:54.540463;;;;;
1b161c2c27;2026-05-27T22:28:42.294434;MXC->KCN;MPC-USDT;USDT;1,116096467;MXC;C02__688417353221672960119;market;buy;112;75,93;0,01783;0,01783;1,3538319;0;2026-05-27 22:28:43.049;PARTIAL;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688417353221672960119"", ""quantity"": ""75.93"", ""amount"": ""1.3538319"", ""fees"": 0.0, ""price"": ""0.01783"", ""executedQty"": ""75.93"", ""cummulativeQuoteQty"": ""1.3538319"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 75.93, ""price_actual"": 0.01783, ""value_usdt"": 1.3538319, ""fees"": 0.0, ""create_ts"": 1779913723000}]}";;
